From Date,To Date,Temp,WS,RH,NO2
23-05-2018 23:00,24-05-2018 00:00,46.53,3.77,68.25,60.48
24-05-2018 00:00,24-05-2018 01:00,46.95,3.48,69.75,55.85
24-05-2018 01:00,24-05-2018 02:00,45.32,3.27,71.25,42.62
24-05-2018 02:00,24-05-2018 03:00,43.12,3.38,72.5,37.98
24-05-2018 03:00,24-05-2018 04:00,41.93,3.9,74.25,31.68
24-05-2018 04:00,24-05-2018 05:00,41.35,4.05,75,30.45
24-05-2018 05:00,24-05-2018 06:00,40.42,3.83,76,28.2
24-05-2018 06:00,24-05-2018 07:00,37.83,3.73,75.75,27.92
24-05-2018 07:00,24-05-2018 08:00,36.35,3.68,73.5,30.7
24-05-2018 08:00,24-05-2018 09:00,38.4,4.23,69.5,33.48
24-05-2018 09:00,24-05-2018 10:00,42.05,3.95,67,38.38
24-05-2018 10:00,24-05-2018 11:00,41.8,3.53,63.5,38.62
24-05-2018 11:00,24-05-2018 12:00,40.28,3.55,59.5,18.95
24-05-2018 12:00,24-05-2018 13:00,41.22,3.47,55.75,41.03
24-05-2018 13:00,24-05-2018 14:00,41.7,3.2,53.5,42.75
24-05-2018 14:00,24-05-2018 15:00,41.8,3.3,53.6,42.76
24-05-2018 15:00,24-05-2018 16:00,41.9,3.4,53.7,42.77
24-05-2018 16:00,24-05-2018 17:00,36.8,4.2,51,0
24-05-2018 17:00,24-05-2018 18:00,40.82,3.15,51.25,64.43
24-05-2018 18:00,24-05-2018 19:00,41.72,2.67,56.75,84.15
24-05-2018 19:00,24-05-2018 20:00,41.62,10.42,54.75,73.6
24-05-2018 20:00,24-05-2018 21:00,43.5,9.15,53.5,77.28
24-05-2018 21:00,24-05-2018 22:00,46.05,3.12,61.5,96.73
24-05-2018 22:00,24-05-2018 23:00,46.47,2.13,54.5,96.52
24-05-2018 23:00,25-05-2018 00:00,46.32,1.57,54.75,101.25
25-05-2018 00:00,25-05-2018 01:00,42.73,1.38,54,87.17
25-05-2018 01:00,25-05-2018 02:00,41.38,0.8,56.25,73.23
25-05-2018 02:00,25-05-2018 03:00,40.3,1.12,55.75,55.1
25-05-2018 03:00,25-05-2018 04:00,39.57,1.1,57.75,59.65
25-05-2018 04:00,25-05-2018 05:00,39.05,1.95,59.75,51.62
25-05-2018 05:00,25-05-2018 06:00,37.85,1.22,61.75,44.78
25-05-2018 06:00,25-05-2018 07:00,35.43,0.9,64.5,64.58
25-05-2018 07:00,25-05-2018 08:00,36.25,1.32,61.5,78.6
25-05-2018 08:00,25-05-2018 09:00,36.22,1.85,55.75,74.45
25-05-2018 09:00,25-05-2018 10:00,36.32,2.58,53.25,70.8
25-05-2018 10:00,25-05-2018 11:00,36,3.1,50,79.5
25-05-2018 11:00,25-05-2018 12:00,36.55,3.32,46,36.4
25-05-2018 12:00,25-05-2018 13:00,36.52,3.3,44.25,35.48
25-05-2018 13:00,25-05-2018 14:00,41,3.4,41.25,71.88
25-05-2018 14:00,25-05-2018 15:00,38.72,3.12,39.25,44.02
25-05-2018 15:00,25-05-2018 16:00,38.72,4.93,33,62.55
25-05-2018 16:00,25-05-2018 17:00,41.43,4.5,33,58.52
25-05-2018 17:00,25-05-2018 18:00,42.85,3.08,35.5,65.95
25-05-2018 18:00,25-05-2018 19:00,42.82,0.9,38.5,107.35
25-05-2018 19:00,25-05-2018 20:00,39.38,0.68,39.75,149.3
25-05-2018 20:00,25-05-2018 21:00,37.8,0.45,41.5,168.73
25-05-2018 21:00,25-05-2018 22:00,37.35,0.3,44.25,166.88
25-05-2018 22:00,25-05-2018 23:00,36.68,0.3,47.75,155.12
25-05-2018 23:00,26-05-2018 00:00,36.65,0.33,50,131.17
26-05-2018 00:00,26-05-2018 01:00,37.25,0.3,54.75,117.35
26-05-2018 01:00,26-05-2018 02:00,37.95,0.3,56.5,100.12
26-05-2018 02:00,26-05-2018 03:00,37.68,0.3,55.25,108.15
26-05-2018 03:00,26-05-2018 04:00,37.38,0.3,52.75,101.4
26-05-2018 04:00,26-05-2018 05:00,37.1,0.3,52,75.97
26-05-2018 05:00,26-05-2018 06:00,36.45,0.35,51,72.6
26-05-2018 06:00,26-05-2018 07:00,33.65,0.33,51.5,80.95
26-05-2018 07:00,26-05-2018 08:00,33.43,0.65,50.75,85.23
26-05-2018 08:00,26-05-2018 09:00,33.35,0.73,46.75,85.8
26-05-2018 09:00,26-05-2018 10:00,33.8,1.87,44.5,82.25
26-05-2018 10:00,26-05-2018 11:00,32.3,2.22,39.75,72.32
26-05-2018 11:00,26-05-2018 12:00,33.02,2.5,35.75,29.68
26-05-2018 12:00,26-05-2018 13:00,33.43,2.03,34.25,35.4
26-05-2018 13:00,26-05-2018 14:00,35.92,2,33.25,45.37
26-05-2018 14:00,26-05-2018 15:00,38.48,2.08,33,59.25
26-05-2018 15:00,26-05-2018 16:00,40.2,2.45,33,57.62
26-05-2018 16:00,26-05-2018 17:00,41.07,1.6,33.5,79.05
26-05-2018 17:00,26-05-2018 18:00,41.93,0.78,34.75,97.2
26-05-2018 18:00,26-05-2018 19:00,41.82,0.63,37.25,118.68
26-05-2018 19:00,26-05-2018 20:00,37.85,0.33,38.75,160.12
26-05-2018 20:00,26-05-2018 21:00,36.07,0.35,43,173.22
26-05-2018 21:00,26-05-2018 22:00,35.5,0.38,44.75,172.95
26-05-2018 22:00,26-05-2018 23:00,35.05,0.55,40.25,145.28
26-05-2018 23:00,27-05-2018 00:00,35.2,0.85,42.25,123.45
27-05-2018 00:00,27-05-2018 01:00,35.62,0.38,43.75,97.3
