from date,to date,temp,ws,rh,no2
1/11/17 0:00,1/11/17 1:00,32.86,1.52,81.9,28.62
1/11/17 1:00,1/11/17 2:00,34.45,1.39,83.39,27.05
1/11/17 2:00,1/11/17 3:00,34.53,1.66,84.91,25.77
1/11/17 3:00,1/11/17 4:00,34.52,1.52,85.95,24.5
1/11/17 4:00,1/11/17 5:00,34.48,1.3,86.85,24.52
1/11/17 5:00,1/11/17 6:00,33.44,1.34,87.31,24.16
1/11/17 6:00,1/11/17 7:00,29.57,1,87.78,25.55
1/11/17 7:00,1/11/17 8:00,29.31,1.11,86.78,28.79
1/11/17 8:00,1/11/17 9:00,29.15,0.75,82.16,33.1
1/11/17 9:00,1/11/17 10:00,29.6,0.83,73.86,35.01
1/11/17 10:00,1/11/17 11:00,29.46,1.78,69.93,29.64
1/11/17 11:00,1/11/17 12:00,29.79,1.13,60.32,25.8
1/11/17 12:00,1/11/17 13:00,29.54,1.32,62.57,25.77
1/11/17 13:00,1/11/17 14:00,28.12,0.9,59.11,25.09
1/11/17 14:00,1/11/17 15:00,28.03,0.7,58.13,27.42
1/11/17 15:00,1/11/17 16:00,28.16,0.96,59.17,33.56
1/11/17 16:00,1/11/17 17:00,29.16,0.4,61.87,43.98
1/11/17 17:00,1/11/17 18:00,31.36,0.28,66.56,46.62
1/11/17 18:00,1/11/17 19:00,34.23,0.33,68.09,57.37
1/11/17 19:00,1/11/17 20:00,35.45,0.95,70.48,62.92
1/11/17 20:00,1/11/17 21:00,36.44,0.84,72.95,64.23
1/11/17 21:00,1/11/17 22:00,36.99,0.72,74.36,63.09
1/11/17 22:00,1/11/17 23:00,37.56,0.9,75.15,59.53
1/11/17 23:00,2/11/17 0:00,38.64,1.55,75.91,52.9
2/11/17 0:00,2/11/17 1:00,40.05,1.22,78.64,46.56
2/11/17 1:00,2/11/17 2:00,41.14,1.13,80.46,43.37
2/11/17 2:00,2/11/17 3:00,41.4,1.52,81.42,40.93
2/11/17 3:00,2/11/17 4:00,41.49,0.92,82.31,40.79
2/11/17 4:00,2/11/17 5:00,41.64,1.17,83.28,40.06
2/11/17 5:00,2/11/17 6:00,39.78,0.93,83.5,35.71
2/11/17 6:00,2/11/17 7:00,34.21,0.41,83.83,33.51
2/11/17 7:00,2/11/17 8:00,33.15,0.66,82.47,39.51
2/11/17 8:00,2/11/17 9:00,32.8,0.34,76.58,42.88
2/11/17 9:00,2/11/17 10:00,32.82,0,0,0
2/11/17 10:00,2/11/17 11:00,32.28,0,0,0
2/11/17 11:00,2/11/17 12:00,30.74,0,0,0
2/11/17 12:00,2/11/17 13:00,30.17,1.08,57.74,29.71
2/11/17 13:00,2/11/17 14:00,30.5,0.92,56.41,32.64
2/11/17 14:00,2/11/17 15:00,29.37,1.23,54.29,34.7
2/11/17 15:00,2/11/17 16:00,29.17,0.56,56.23,39.14
2/11/17 16:00,2/11/17 17:00,29.35,0.51,59.63,56.61
2/11/17 17:00,2/11/17 18:00,29.5,0.91,63.98,82.04
2/11/17 18:00,2/11/17 19:00,29.1,0.87,68.47,71.62
2/11/17 19:00,2/11/17 20:00,28.81,1.29,71.14,63.15
2/11/17 20:00,2/11/17 21:00,28.74,1.58,72.22,53.16
2/11/17 21:00,2/11/17 22:00,28.69,1.97,73.71,43.71
2/11/17 22:00,2/11/17 23:00,28.81,2.22,75.91,34.13
2/11/17 23:00,3/11/17 0:00,29.46,1.46,77.58,28.23
3/11/17 0:00,3/11/17 1:00,30.89,1.32,79.62,25.02
3/11/17 1:00,3/11/17 2:00,31.87,0.88,80.51,22.52
3/11/17 2:00,3/11/17 3:00,31.97,0.76,81.72,21.48
3/11/17 3:00,3/11/17 4:00,31.92,0.42,82.79,20.8
3/11/17 4:00,3/11/17 5:00,31.91,0.34,83.27,21.41
3/11/17 5:00,3/11/17 6:00,31.24,0.49,83.84,31.42
3/11/17 6:00,3/11/17 7:00,28.42,0.58,84.57,33.01
3/11/17 7:00,3/11/17 8:00,28.04,1.03,83.88,37.97
3/11/17 8:00,3/11/17 9:00,27.85,1.7,81.02,37.57
3/11/17 9:00,3/11/17 10:00,28,0.73,38.51,18.01
3/11/17 10:00,3/11/17 11:00,28.13,0,0,0
3/11/17 11:00,3/11/17 12:00,29.09,0,0,0
3/11/17 12:00,3/11/17 13:00,31.45,0,0,0
3/11/17 13:00,3/11/17 14:00,32.01,0,0,0
3/11/17 14:00,3/11/17 15:00,29.25,0,0,0
3/11/17 15:00,3/11/17 16:00,28.57,0.47,26.83,12.51
3/11/17 16:00,3/11/17 17:00,28.96,0.98,67.28,34.96
3/11/17 17:00,3/11/17 18:00,29.17,0.46,71.7,50.64
3/11/17 18:00,3/11/17 19:00,29.46,0.66,74.7,49.61
3/11/17 19:00,3/11/17 20:00,29.54,0.67,76.81,48.13
3/11/17 20:00,3/11/17 21:00,29.41,0.5,78.57,42.49
3/11/17 21:00,3/11/17 22:00,29.59,0.49,79.64,40.04
3/11/17 22:00,3/11/17 23:00,29.71,0.41,80.4,38.51
3/11/17 23:00,4/11/17 0:00,30.41,0.96,82.15,30.46
4/11/17 0:00,4/11/17 1:00,31.61,0.53,84.32,24.22
4/11/17 1:00,4/11/17 2:00,32.04,0.53,85.45,33.57
4/11/17 2:00,4/11/17 3:00,32.52,0.75,87,46.23
4/11/17 3:00,4/11/17 4:00,32.52,0.85,88,52.67
4/11/17 4:00,4/11/17 5:00,32.52,0.58,88,53.57
4/11/17 5:00,4/11/17 6:00,32.12,0.45,89.25,59.67
4/11/17 6:00,4/11/17 7:00,29.1,0.38,90.25,73.12
4/11/17 7:00,4/11/17 8:00,28.2,0.58,91,82.25
4/11/17 8:00,4/11/17 9:00,27.97,2,87.25,74.75
4/11/17 9:00,4/11/17 10:00,28.12,2.68,82.5,62.8
4/11/17 10:00,4/11/17 11:00,27.88,2.05,77.75,57.38
4/11/17 11:00,4/11/17 12:00,28.32,1.83,70,49.1
4/11/17 12:00,4/11/17 13:00,29.88,2.15,61.75,44.38
4/11/17 13:00,4/11/17 14:00,29.55,2.1,58.25,41.8
4/11/17 14:00,4/11/17 15:00,29.55,1.93,56.25,42.32
4/11/17 15:00,4/11/17 16:00,29.35,1.95,54.75,47.6
4/11/17 16:00,4/11/17 17:00,29.85,1.2,56,59.52
4/11/17 17:00,4/11/17 18:00,30.9,0.33,62.5,77.2
4/11/17 18:00,4/11/17 19:00,29.2,0.33,69,94.1
4/11/17 19:00,4/11/17 20:00,28.42,0.58,71,94.32
4/11/17 20:00,4/11/17 21:00,28.47,0.3,72.5,117.4
4/11/17 21:00,4/11/17 22:00,28.82,0.33,74.5,120.45
4/11/17 22:00,4/11/17 23:00,29.1,0.3,75.25,121.9
4/11/17 23:00,5/11/17 0:00,29.73,0.3,76.75,115.43
5/11/17 0:00,5/11/17 1:00,30.8,0.3,80,79.08
5/11/17 1:00,5/11/17 2:00,31.22,0.3,80.75,58.93
5/11/17 2:00,5/11/17 3:00,31.45,0.3,81.75,50.35
5/11/17 3:00,5/11/17 4:00,31.47,0.3,84.25,44.75
5/11/17 4:00,5/11/17 5:00,31.42,0.3,86,40.23
5/11/17 5:00,5/11/17 6:00,31.02,0.3,87.5,39.35
5/11/17 6:00,5/11/17 7:00,28.55,0.3,88,39.75
5/11/17 7:00,5/11/17 8:00,28.38,0.3,87.25,54.43
5/11/17 8:00,5/11/17 9:00,28.13,0.43,80,55
5/11/17 9:00,5/11/17 10:00,28,0.48,71,51.95
5/11/17 10:00,5/11/17 11:00,28.32,1.08,66.5,52.1
5/11/17 11:00,5/11/17 12:00,28.48,1.12,61,45.1
5/11/17 12:00,5/11/17 13:00,28.65,1.45,57,43.88
5/11/17 13:00,5/11/17 14:00,28.42,1.53,56.25,46.5
5/11/17 14:00,5/11/17 15:00,28.42,1.3,55.5,41.85
5/11/17 15:00,5/11/17 16:00,28.05,1,55.75,55.23
5/11/17 16:00,5/11/17 17:00,28.07,0.57,59,97.45
5/11/17 17:00,5/11/17 18:00,28.25,0.3,65,140.25
5/11/17 18:00,5/11/17 19:00,28.25,0.3,70.75,139.12
5/11/17 19:00,5/11/17 20:00,28.25,0.3,73.5,133.9
5/11/17 20:00,5/11/17 21:00,28.33,0.33,75.5,124.3
5/11/17 21:00,5/11/17 22:00,28.28,0.3,78.25,116.48
5/11/17 22:00,5/11/17 23:00,28.5,0.3,76.5,117.4
5/11/17 23:00,6/11/17 0:00,29.45,0.3,74.75,108.98
6/11/17 0:00,6/11/17 1:00,30.32,0.3,78.5,95.08
6/11/17 1:00,6/11/17 2:00,31.3,0.3,78.75,89
6/11/17 2:00,6/11/17 3:00,31.3,0.3,75.75,77.4
6/11/17 3:00,6/11/17 4:00,31.42,0.3,75.25,66.6
6/11/17 4:00,6/11/17 5:00,31.32,0.3,77.5,63
6/11/17 5:00,6/11/17 6:00,30.4,0.3,80.5,67.52
6/11/17 6:00,6/11/17 7:00,28.27,0.5,80.75,72.33
6/11/17 7:00,6/11/17 8:00,27.7,0.62,77.75,82.95
6/11/17 8:00,6/11/17 9:00,27.55,1,73.75,87.12
6/11/17 9:00,6/11/17 10:00,27.67,0.9,68.75,80.33
6/11/17 10:00,6/11/17 11:00,28.12,0.75,62.5,72.55
6/11/17 11:00,6/11/17 12:00,28.47,1.02,60,64.68
6/11/17 12:00,6/11/17 13:00,28.25,1.12,56.5,61.15
6/11/17 13:00,6/11/17 14:00,28.25,1.25,55.25,65.88
6/11/17 14:00,6/11/17 15:00,28.4,1.43,56,64.8
6/11/17 15:00,6/11/17 16:00,28.4,1.05,56.25,77.52
